Sr.No,FoodName,FoodPrice,Description,Category,Photos,Type
101,WIZZIE CHEESY TOPPING 1KG,0,xyz,WIZZIE SAUCE,/uploads/101.jpg,Veg
102,WIZZIE CHEEZY BLEND GOUDA 1KG,0,xyz,WIZZIE SAUCE,/uploads/102.jpg,Veg
103,WIZZIE CHEEZY DELITE 1KG,0,xyz,WIZZIE SAUCE,/uploads/103.jpg,Veg
104,WIZZIE CHILLI GARLIC 1KG,0,xyz,WIZZIE SAUCE,/uploads/104.jpg,Veg
105,WIZZIE CHIPOTLE DIP 1KG,0,xyz,WIZZIE SAUCE,/uploads/105(1).jpg,Veg
106,WIZZIE CHOCO DRESSING 1.3K,0,xyz,WIZZIE SAUCE,/uploads/106.jpg,Veg
107,WIZZIE CREAMY DELITE 500G,0,xyz,WIZZIE SAUCE,/uploads/107.jpg,Veg
108,WIZZIE ITALIAN PIZZZ PASTA 1KG,0,xyz,WIZZIE SAUCE,/uploads/108.jpg,Veg
109,WIZZIE MAKHANI GRAVY 1KG,0,xyz,WIZZIE SAUCE,/uploads/109.jpg,Veg
110,WIZZIE MAYONNIASE 1KG,0,xyz,WIZZIE SAUCE,/uploads/110.jpg,Veg
111,WIZZIE PIZZA TOPPING-1KG,0,xyz,WIZZIE SAUCE,/uploads/111.jpg,Veg
112,WIZZIE SALSA MEXICAN 1KG,0,xyz,WIZZIE SAUCE,/uploads/112.jpg,Veg
113,WIZZIE SCHEZEAN SAUCE 1KG,0,xyz,WIZZIE SAUCE,/uploads/113.jpg,Veg
114,WIZZIE TANOORI MAYONNAISE 1KG,0,xyz,WIZZIE SAUCE,/uploads/114.jpg,Veg
115,WIZZIE THOUSAND ISLAND 1KG,0,xyz,WIZZIE SAUCE,/uploads/115.jpg,Veg
116,WIZZIE TOMMATO KETCHUP 1KG,0,xyz,WIZZIE SAUCE,/uploads/116.jpg,Veg
117,WIZZIE TOMMATO KETCHUP 8GM,0,xyz,WIZZIE SAUCE,/uploads/117.jpg,Veg
118,GT AMERICAN CORN 400GM,0,xyz,GODREJ TYSON FOOD,,Non-Veg
119,GT CHEESE CORN NUGGETS 400G,0,xyz,GODREJ TYSON FOOD,,Non-Veg
120,GT CHI BREAKFAST SALAMI 250G,0,xyz,GODREJ TYSON FOOD,,Non-Veg
121,GT CHI BREAKFAST SAUSAGES 250G,0,xyz,GODREJ TYSON FOOD,,Non-Veg
122,GT CHI BURGER PATTY 300G,0,xyz,GODREJ TYSON FOOD,,Non-Veg
123,GT CHI CHEESE & ONION SAUSAGES 250G,0,xyz,GODREJ TYSON FOOD,,Non-Veg
124,GT CHI CHILLI SALAMI 250GM,0,xyz,GODREJ TYSON FOOD,,Non-Veg
125,GT CHI CHILLI SAUSAGES 250G,0,xyz,GODREJ TYSON FOOD,,Non-Veg
126,GT CHI HARIYALI KABAB 400G,0,xyz,GODREJ TYSON FOOD,,Non-Veg
127,GT CHI ITALIAN SAUSAGES 250G,0,xyz,GODREJ TYSON FOOD,,Non-Veg
128,GT CHI KHEEMA 300GM,0,xyz,GODREJ TYSON FOOD,,Non-Veg
129,GT CHI LUCKNAWI SEEKH KABAB 400G,0,xyz,GODREJ TYSON FOOD,,Non-Veg
130,GT CHI MASALA NUGGETS 400G,0,xyz,GODREJ TYSON FOOD,,Non-Veg
131,GT CHI NUGGETS 500G,0,xyz,GODREJ TYSON FOOD,,Non-Veg
132,GT CHI NUGGETS 750G,0,xyz,GODREJ TYSON FOOD,,Non-Veg
133,GT CHI PEPPER & HERB SALAMI 250G,0,xyz,GODREJ TYSON FOOD,,Non-Veg
134,GT CHI PEPPER& HERB SAUSAGS 250G,0,xyz,GODREJ TYSON FOOD,,Non-Veg
135,GT CHI POPCORN 400GM,0,xyz,GODREJ TYSON FOOD,,Non-Veg
136,GT CHI PUNJABI TIKKA 360GM,0,xyz,GODREJ TYSON FOOD,,Non-Veg
137,GT CHI SEEKH KABAB 360G,0,xyz,GODREJ TYSON FOOD,,Non-Veg
138,GT CHI TANDOORI NUGGET 400,0,xyz,GODREJ TYSON FOOD,,Non-Veg
139,GT CRISPY POTATO STARZ 400G,0,xyz,GODREJ TYSON FOOD,,Non-Veg
140,GT CRISPY VEG STICKS 320G,0,xyz,GODREJ TYSON FOOD,,Non-Veg
141,GT FRENCH FRIES 9MM 425GM,0,xyz,GODREJ TYSON FOOD,,Non-Veg
142,GT GREEEN PEAS 200GM,0,xyz,GODREJ TYSON FOOD,,Non-Veg
143,GT GREEN PEAS 1KG,0,xyz,GODREJ TYSON FOOD,,Non-Veg
144,GT GREEN PEAS 500G,0,xyz,GODREJ TYSON FOOD,,Non-Veg
145,GT VEG BURGER PATTY 340G,0,xyz,GODREJ TYSON FOOD,,Non-Veg
146,GT VEG PARTY PACK 600GM,0,xyz,GODREJ TYSON FOOD,,Non-Veg
147,GT VEG PIZZA POKETS 340GM,0,xyz,GODREJ TYSON FOOD,,Non-Veg
,,,,,,Non-Veg
